번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
574,메지온,39,0,0.34
575,KSS해운,39,0,1.8
576,파인엠텍,38,0,1.16
577,글로벌텍스프리,38,0,1.37
578,자람테크놀로지,38,0,2.03
579,디앤씨미디어,38,0,1.2
580,한국무브넥스,37,0,1.33
581,나노팀,37,0,1.26
582,한국토지신탁,37,0,1.25
583,HDC랩스,37,0,1.9
584,액트로,36,0,4.5
585,신성이엔지,36,0,0.87
586,우진,36,0,1.92
587,코스맥스비티아이,36,0,3.54
588,태경산업,36,0,1.88
589,LB세미콘,35,0,1.05
590,유니퀘스트,35,0,2.67
591,대양전기공업,35,0,3.12
592,한국쉘석유,35,0,1.19
593,아모레G우,35,0,5.4
594,롯데손해보험,35,0,0.47
595,티앤엘,35,0,1.06
596,일신방직,34,0,1.66
597,이랜텍,34,0,1.36
598,KPX케미칼,34,0,1.63
599,SIMPAC,34,0,1.31
600,남해화학,34,0,0.92
601,JW생명과학,34,0,1.65
602,덕산테코피아,34,0,0.98
603,파수,34,0,3.04
604,사조대림,34,0,1.17
605,이리츠코크렙,34,0,1.09
606,토비스,34,0,1.26
607,모두투어,33,0,1.16
608,차바이오텍,33,0,0.3
609,한화갤러리아,33,0,1.27
610,광동제약,33,0,0.85
611,KG케미칼,33,0,0.71
612,바텍,33,0,0.67
613,나스미디어,33,0,1.27
614,대덕,33,0,1.51
615,가온전선,32,0,2.4
616,코텍,32,0,3.17
617,리파인,32,0,2.13
618,포스코스틸리온,32,0,0.93
619,SAMG엔터,31,0,1.83
620,벽산,31,0,1.73
621,한미글로벌,30,0,1.35
622,신대양제지,30,0,1.33
623,모트렉스,30,0,0.68
624,컴투스,30,0,0.48
625,남양유업,29,0,0.67
626,오로스테크놀로지,29,0,1.07
627,SK렌터카,29,0,0.6
628,코어라인소프트,29,0,0.84
629,헥토파이낸셜,29,0,1.15
630,한솔테크닉스,29,0,1.28
631,CJ4우(전환),28,0,0.96
632,큐리언트,28,0,4.89
633,디오,28,0,0.8
634,이엔에프테크놀로지,28,0,0.8
635,케이엔제이,28,0,1.82
636,한국공항,28,0,1.76
637,SNT에너지,27,0,1.66
638,NH올원리츠,27,0,1.91
639,효성ITX,27,0,1.9
640,무림P&P,27,0,1.37
641,삼영전자,27,0,1.56
642,대창단조,27,0,1.53
643,하나기술,27,0,0.47
644,삼양패키징,27,0,1.06
645,서울가스,26,0,0.85
646,S-Oil우,26,0,1.33
647,디바이스이엔지,26,0,2.51
648,한화리츠,26,0,0.73
649,넥스틸,26,0,1.38
650,와이엠티,26,0,1.49
651,미래컴퍼니,25,0,0.83
652,태경비케이,25,0,1.36
653,BGF,25,0,0.69
654,롯데하이마트,24,0,1.01
655,코오롱글로벌,24,0,1.1
656,TYM,24,0,0.96
657,에어부산,24,0,0.67
658,이수화학,24,0,0.77
659,휴온스글로벌,24,0,0.79
660,SFA반도체,24,0,0.24
661,도화엔지니어링,24,0,0.88
662,AJ네트웍스,24,0,1.05
663,유안타증권,24,0,0.46
664,CJ프레시웨이,23,0,0.83
665,광주신세계,23,0,0.97
666,컨텍,23,0,1.03
667,케이엠더블유,23,0,0.46
668,레이언스,23,0,1.47
669,하나제약,23,0,0.92
670,DB,23,0,0.65
671,브이원텍,23,0,1.28
672,티와이홀딩스,23,0,1.06
673,커넥트웨이브,22,0,0.31
674,대한제당,22,0,0.78
675,켄코아에어로스페이스,22,0,1.36
676,KG이니시스,22,0,0.65
677,KEC,22,0,0.7
678,신한서부티엔디리츠,22,0,1.06
679,흥아해운,22,0,0.36
680,포스코엠텍,21,0,0.17
681,디이엔티,21,0,0.63
682,KISCO홀딩스,21,0,0.55
683,엔젯,21,0,1.24
684,웅진씽크빅,21,0,0.71
685,코오롱,21,0,0.95
686,디아이씨,21,0,1.08
687,신풍제약,21,0,0.29
688,동화약품,21,0,0.72
689,디와이,21,0,1.33
690,큐로셀,20,0,0.41
691,농우바이오,20,0,1.51
692,지니언스,20,0,1.69
693,원익홀딩스,20,0,0.77
694,엠아이텍,20,0,0.92
695,지어소프트,20,0,1.36
696,한솔로지스틱스,20,0,2.93
697,AK홀딩스,20,0,0.87
698,바이오노트,20,0,0.45
699,현대퓨처넷,20,0,0.56
700,한일현대시멘트,20,0,0.65
701,싸이맥스,20,0,1.24
702,영진약품,20,0,0.5
703,디아이,19,0,1.09
704,현대차증권,19,0,0.71
705,사람인,19,0,0.95
706,하림지주,19,0,0.22
707,현대비앤지스틸,19,0,0.87
708,모토닉,19,0,0.7
709,락앤락,19,0,0.71
710,테이팩스,19,0,1.39
711,삼양통상,19,0,1.3
712,일양약품,19,0,0.63
713,삼성FN리츠,19,0,0.49
714,다날,19,0,0.59
715,에스에이엠티,19,0,0.68
716,셀바스AI,19,0,0.35
717,NEW,19,0,1.45
718,아이패밀리에스씨,19,0,0.82
719,퍼시스,19,0,0.53
720,에스티큐브,19,0,0.34
721,SK증권,18,0,0.61
722,코윈테크,18,0,0.61
723,코윈테크배당(보),1,0,0
724,테크윙,18,0,0.43
725,현대리바트,18,0,1.14
726,이연제약,18,0,0.59
727,티앤알바이오팹,18,0,0.95
728,도이치모터스,18,0,1.15
729,현대바이오,18,0,0.17
730,바이오다인,18,0,0.44
731,스틱인베스트먼트,17,0,0.6
732,조광피혁,17,0,0.52
733,교보증권,17,0,0.31
734,HJ중공업,17,0,0.46
735,한세예스24홀딩스,17,0,0.88
736,LG헬로비전,17,0,0.65
737,켐트로닉스,17,0,0.46
738,큐리언트유상(보),17,0,0
739,애니플러스,17,0,1.13
740,에이플러스에셋,17,0,1.72
741,동양,17,0,0.7
742,유진투자증권,17,0,0.49
743,세아홀딩스,17,0,0.39
744,랩지노믹스,17,0,0.58
745,잇츠한불,17,0,0.61
746,아스플로,16,0,1.18
747,쏠리드,16,0,0.44
748,남선알미늄,16,0,0.54
749,코난테크놀로지,16,0,0.44
750,영풍정밀,16,0,0.81
751,아모레G3우(전환),16,0,1.21
752,GS글로벌,16,0,0.77
753,진양홀딩스,16,0,0.9
754,LS마린솔루션,16,0,0.57
755,제일약품,16,0,0.63
756,자이에스앤디,16,0,0.81
757,노루홀딩스,16,0,1.04
758,대성에너지,16,0,0.7
759,일진홀딩스,16,0,0.81
760,조선내화,16,0,0.62
761,팜스코,16,0,1.3
762,넥센,15,0,0.69
763,YG PLUS,15,0,0.55
764,디앤디플랫폼리츠,15,0,0.74
765,알루코,15,0,0.51
766,토니모리,15,0,1.46
767,대교,15,0,0.68
768,대한제분,14,0,0.67
769,성신양회,14,0,0.69
770,매커스,14,0,0.71
771,하이딥,14,0,0.68
772,세종공업,14,0,0.86
773,하이트진로홀딩스,14,0,0.7
774,비에이치아이,14,0,0.56
775,백광산업,14,0,0.4
776,STX엔진,14,0,0.52
777,금호건설,14,0,0.73
778,강남제비스코,14,0,1.03
779,HDC현대EP,14,0,0.95
780,태림포장,14,0,0.8
781,컴투스홀딩스,14,0,0.56
782,큐리언트무상(보),14,0,0
783,엠게임,13,0,1.11
784,경인양행,13,0,0.84
785,대정화금,13,0,1.11
786,삼호개발,13,0,1.57
787,네패스아크,13,0,0.4
788,한국기업평가,13,0,0.38
789,씨아이에스,13,0,0.17
790,신성통상,13,0,0.5
791,KPX홀딩스,13,0,0.6
792,금강공업,13,0,0.78
793,화승알앤에이,13,0,1.63
794,일진다이아,13,0,0.62
795,SK이노베이션우,13,0,1.11
796,경동도시가스,13,0,1.1
797,동아지질,13,0,0.69
798,CR홀딩스,13,0,0.41
799,경방,12,0,0.52
800,경보제약,12,0,0.62
801,유니드비티플러스,12,0,1.66
802,AP위성,12,0,0.6
803,동아타이어,12,0,0.75
804,삼부토건,12,0,0.26
805,무학,12,0,0.8
806,신테카바이오,12,0,0.56
807,서울반도체,12,0,0.21
808,탑머티리얼,12,0,0.25
809,상아프론테크,12,0,0.34
810,경농,12,0,0.6
811,NPC,12,0,0.58
812,티로보틱스,12,0,0.37
813,한농화성,12,0,0.48
814,휴비스,12,0,0.83
815,코오롱플라스틱,12,0,0.39
816,제일파마홀딩스,12,0,0.62
817,삼영,12,0,0.76
818,윤성에프앤씨,12,0,0.13
819,신라교역,12,0,0.83
820,퀄리타스반도체,11,0,0.26
821,일성신약,11,0,0.36
822,NH투자증권우,11,0,0.61
823,에치에프알,11,0,0.48
824,팅크웨어,11,0,0.62
825,뉴로메카,11,0,0.29
826,한국금융지주우,11,0,0.44
827,LS머트리얼즈,11,0,0.04
828,LG우,11,0,0.61
829,셀바스헬스케어,11,0,0.63
830,DL이앤씨2우(전환),11,0,2.2
831,현대이지웰,11,0,0.78
832,한양이엔지,11,0,0.39
833,휴스틸,11,0,0.39
834,대성홀딩스,11,0,0.67
835,미래나노텍,11,0,0.19
836,유비벨록스,11,0,0.87
837,박셀바이오,11,0,0.21
838,예스코홀딩스,10,0,0.53
839,서울옥션,10,0,0.47
840,이월드,10,0,0.42
841,삼화전기,10,0,0.89
842,대명에너지,10,0,0.34
843,비씨엔씨,10,0,0.36
844,진원생명과학,10,0,0.45
845,나이스정보통신,10,0,0.47
846,HB솔루션,10,0,0.27
847,서연,10,0,0.49
848,샘표식품,10,0,0.78
849,어보브반도체,10,0,0.4
850,크라운제과,10,0,0.92
851,아시아나IDT,10,0,0.45
852,사조산업,10,0,0.46
853,DL이앤씨우,10,0,2.4
854,이건산업,9,0,1.34
855,삼성출판사,9,0,0.48
856,아모그린텍,9,0,0.47
857,동아에스티배당(보),9,0,0
858,조일알미늄,9,0,0.35
859,LS네트웍스,9,0,0.27
860,노바렉스,9,0,0.4
861,삼화페인트,9,0,0.5
862,와이엔텍,9,0,0.68
863,에이블씨엔씨,9,0,0.51
864,BYC,9,0,0.34
865,유수홀딩스,9,0,0.59
866,제이씨케미칼,9,0,0.55
867,이엠텍,9,0,0.12
868,JW홀딩스,9,0,0.34
869,진흥기업,9,0,0.51
870,동부건설,9,0,0.63
871,해태제과식품,8,0,0.54
872,제주반도체,8,0,0.18
873,이지스밸류리츠,8,0,0.36
874,에프엔에스테크,8,0,0.86
875,KB스타리츠,8,0,0.2
876,코오롱모빌리티그룹,8,0,0.43
877,종근당바이오,8,0,0.62
878,NI스틸,8,0,0.47
879,계룡건설,8,0,0.62
880,다원시스,8,0,0.17
881,아미코젠무상(보),8,0,0
882,대신증권우,8,0,0.23
883,다올투자증권,8,0,0.33
884,SK케미칼우,8,0,1.23
885,동국S&C,8,0,0.45
886,팸텍,8,0,0.72
887,경동인베스트,8,0,0.49
888,에스제이그룹,8,0,0.84
889,노바텍,8,0,0.31
890,한신공영,8,0,0.92
891,비나텍배당(보),8,0,0
892,셀트리온제약배당(보),8,0,0
893,에스엔유,8,0,0.78
894,아미코젠,8,0,0.37
895,샘표,8,0,0.53
896,태평양물산,8,0,0.68
897,화성산업,8,0,0.68
898,DL우,8,0,1.8
899,현대약품,7,0,0.56
900,신일전자,7,0,0.56
901,웹젠,7,0,0.13
902,극동유화,7,0,0.49
903,아남전자,7,0,0.44
904,그린케미칼,7,0,0.46
905,롯데칠성우,7,0,1.38
906,교촌에프앤비,7,0,0.39
907,선익시스템,7,0,0.26
908,흥국화재,7,0,0.37
909,신원,7,0,0.49
910,강원에너지,7,0,0.15
911,황금에스티,7,0,0.57
912,알멕,7,0,0.23
913,카페24,7,0,0.11
914,STX,7,0,0.23
915,젠큐릭스,7,0,0.81
916,서부T&D배당(보),7,0,0
917,한솔홀딩스,7,0,0.57
918,범한퓨얼셀,7,0,0.38
919,덕양산업,7,0,0.35
920,한전산업,7,0,0.28
921,사조동아원,7,0,0.5
922,한국주철관,7,0,0.42
923,JW중외제약(무상),7,0,0
924,제주은행,7,0,0.25
925,삼익악기,7,0,0.67
926,대성산업,7,0,0.41
927,엘앤케이바이오,7,0,0.32
928,휴비츠,7,0,0.28
929,세이브존I&C,7,0,0.66
930,마이크로디지탈,6,0,0.58
931,아주스틸,6,0,0.34
932,화천기계,6,0,0.75
933,KCTC,6,0,0.54
934,한국석유,6,0,0.44
935,코퍼스코리아,6,0,0.86
936,대영포장,6,0,0.51
937,HS애드,6,0,0.6
938,선진,6,0,0.39
939,디와이피엔에프,6,0,0.25
940,디아이동일배당(보),6,0,0
941,미원홀딩스,6,0,0.33
942,아바코,6,0,0.26
943,제넥신,6,0,0.15
944,퍼스텍,6,0,0.38
945,한국내화,6,0,0.48
946,비즈니스온,6,0,0.21
947,DB금융투자,6,0,0.36
948,신라젠,6,0,0.09
949,쇼박스,6,0,0.28
950,케이옥션,6,0,0.34
951,대한광통신,6,0,0.58
952,에이엘티,6,0,0.28
953,퓨런티어,6,0,0.21
954,우리기술투자,6,0,0.11
955,덱스터,6,0,0.25
956,제너셈,6,0,0.47
957,국제약품,6,0,0.44
958,이엔플러스,6,0,0.21
959,용평리조트,6,0,0.38
960,모나리자,5,0,0.57
961,에이프로젠바이오로직스,5,0,0.28
962,웹케시,5,0,0.42
963,에이프로젠,5,0,0.21
964,삼성제약,5,0,0.36
965,한신기계,5,0,0.33
966,한국전자금융,5,0,0.25
967,이구산업,5,0,0.4
968,인지컨트롤스,5,0,0.4
969,삼일제약,5,0,0.5
970,피에이치씨,5,0,0.25
971,제룡전기,5,0,0.16
972,유바이오로직스,5,0,0.12
973,코엔텍,5,0,0.15
974,유니테스트,5,0,0.17
975,아비코전자,5,0,0.25
976,유니켐,5,0,0.24
977,두올,5,0,0.41
978,수산중공업,5,0,0.37
979,화천기공,5,0,0.69
980,엘티씨,5,0,0.34
981,세아특수강,5,0,0.4
982,HLB글로벌,5,0,0.22
983,유니셈,5,0,0.18
984,디씨엠,5,0,0.37
985,브랜드엑스코퍼레이션,5,0,0.25
986,대현,5,0,0.52
987,솔루스첨단소재1우,5,0,0.82
988,쿠콘,5,0,0.22
989,동성제약,5,0,0.3
990,KTcs,5,0,0.3
991,다스코,5,0,0.55
992,신영와코루,4,0,0.53
993,유니온머티리얼,4,0,0.36
994,광전자,4,0,0.36
995,옵티팜,4,0,0.42
996,펨트론,4,0,0.45
997,펨트론무상(보),4,0,0
998,아이디스,4,0,0.19
999,영풍제지,4,0,0.33
1000,삼일씨엔에스,4,0,0.77
1001,우양,4,0,0.52
1002,KTis,4,0,0.4
1003,아이티엠반도체,4,0,0.07
1004,조선선재,4,0,0.33
1005,이노와이어리스,4,0,0.2
1006,상신브레이크,4,0,0.52
1007,에스엠벡셀,4,0,0.2
1008,SG세계물산,4,0,0.44
1009,무림페이퍼,4,0,0.43
1010,한국화장품,4,0,0.39
1011,코웰패션,4,0,0.12
1012,미래에셋글로벌리츠,4,0,0.37
1013,골프존뉴딘홀딩스,4,0,0.24
1014,대구백화점,4,0,0.4
1015,인팩,4,0,0.43
1016,KIB플러그에너지,4,0,0.21
1017,오로라,4,0,0.5
1018,광명전기,4,0,0.37
1019,대창,4,0,0.33
1020,플리토,4,0,0.25
1021,케이피에프,4,0,0.37
1022,성창기업지주,4,0,0.28
1023,삼양옵틱스,4,0,0.39
1024,KG모빌리언스,4,0,0.18
1025,인천도시가스,4,0,0.33
1026,일동홀딩스,4,0,0.3
1027,크라운해태홀딩스,4,0,0.41
1028,부국증권,4,0,0.16
1029,카나리아바이오,4,0,0.04
1030,에이피티씨,4,0,0.1
1031,씨티알모빌리티,4,0,0.33
1032,케이엔솔,4,0,0.15
1033,휴니드,3,0,0.4
1034,CJ우,3,0,0.3
1035,DMS,3,0,0.2
1036,예스티,3,0,0.11
1037,엑시콘,3,0,0.17
1038,DRB동일,3,0,0.28
1039,동방,3,0,0.33
1040,로보스타,3,0,0.11
1041,금호에이치티,3,0,0.25
1042,만호제강,3,0,0.16
1043,한솔홈데코,3,0,0.45
1044,한스바이오메드,3,0,0.16
1045,한국특강,3,0,0.29
1046,KX,3,0,0.13
1047,일신석재,3,0,0.36
1048,명문제약,3,0,0.39
1049,파세코,3,0,0.15
1050,동양철관,3,0,0.31
1051,CJ씨푸드,3,0,0.27
1052,삼목에스폼,3,0,0.12
1053,기신정기,3,0,0.32
1054,팜젠사이언스,3,0,0.26
1055,나무가,3,0,0.12
1056,한컴라이프케어,3,0,0.22
1057,다우데이타,3,0,0.05
1058,하이로닉,3,0,0.2
1059,화승코퍼레이션,3,0,0.27
1060,가온전선유상(보),3,0,0
1061,코람코더원리츠,3,0,0.14
1062,네이처셀,3,0,0.05
1063,미창석유,3,0,0.21
1064,STX유상(보),3,0,0
1065,한국화장품제조,3,0,0.25
1066,뉴프렉스,3,0,0.16
1067,동원개발,3,0,0.09
1068,계양전기,3,0,0.5
1069,이아이디,3,0,0.07
1070,현대코퍼레이션홀딩스,2,0,0.25
1071,제이스텍,2,0,0.15
1072,유진기업,2,0,0.09
1073,신흥,2,0,0.18
1074,바이오솔루션,2,0,0.15
1075,바이넥스,2,0,0.08
1076,제이엔케이히터,2,0,0.19
1077,진양산업,2,0,0.27
1078,인스코비,2,0,0.17
1079,동일산업,2,0,0.21
1080,덕성,2,0,0.19
1081,한국수출포장,2,0,0.19
1082,유진로봇,2,0,0.05
1083,옵트론텍,2,0,0.25
1084,한국제지,2,0,0.1
1085,삼원강재,2,0,0.18
1086,새론오토모티브,2,0,0.28
1087,미원화학,2,0,0.14
1088,정다운,2,0,0.23
1089,한양디지텍,2,0,0.1
1090,지엠비코리아,2,0,0.23
1091,SH에너지화학,2,0,0.29
1092,슈프리마,2,0,0.14
1093,KC코트렐,2,0,0.25
1094,리드코프,2,0,0.12
1095,코아시아,2,0,0.1
1096,미래에셋증권우,2,0,0.35
1097,HL D&I,2,0,0.25
1098,넥센타이어1우B,2,0,0.95
1099,조비,2,0,0.27
1100,유유제약,2,0,0.21
1101,금화피에스시,2,0,0.12
1102,유화증권,2,0,0.14
1103,부국철강,2,0,0.22
1104,콤텍시스템,2,0,0.2
1105,한창제지,2,0,0.33
1106,세원정공,2,0,0.28
1107,부산산업,2,0,0.27
1108,대원전선,2,0,0.22
1109,남광토건,2,0,0.24
1110,웅진,2,0,0.18
1111,대보마그네틱,2,0,0.07
1112,DSR,2,0,0.26
1113,대한화섬,2,0,0.12
1114,동일고무벨트,2,0,0.2
1115,리튬포어스,2,0,0.08
1116,이루다,2,0,0.12
1117,보락,2,0,0.22
1118,동인기연,2,0,0.13
1119,깨끗한나라,2,0,0.18
1120,일성건설,2,0,0.21
1121,아이앤씨,2,0,0.33
1122,유니온,2,0,0.19
1123,대덕전자1우,2,0,0.76
1124,뉴파워프라즈마,2,0,0.07
1125,보해양조,2,0,0.21
1126,코오롱인더우,2,0,0.24
1127,동양피스톤,2,0,0.24
1128,텔코웨어,2,0,0.16
1129,한국비엔씨,1,0,0.06
1130,혜인,1,0,0.2
1131,SG글로벌,1,0,0.21
1132,현대건설우,1,0,0.27
1133,한진중공업홀딩스,1,0,0.15
1134,STX그린로지스,1,0,0.16
1135,DSR제강,1,0,0.23
1136,대우부품,1,0,0.2
1137,SK우,1,0,0.17
1138,하이드로리튬,1,0,0.05
1139,사조씨푸드,1,0,0.21
1140,와이엠텍,1,0,0.08
1141,제이티,1,0,0.15
1142,오션브릿지,1,0,0.1
1143,가온그룹,1,0,0.15
1144,삼성공조,1,0,0.18
1145,인카금융서비스,1,0,0.08
1146,디지털대성,1,0,0.08
1147,태양금속,1,0,0.1
1148,한양증권,1,0,0.11
1149,두산퓨얼셀1우,1,0,0.13
1150,두산우,1,0,0.06
1151,한화솔루션우,1,0,0.17
1152,형지엘리트,1,0,0.26
1153,써니전자,1,0,0.13
1154,셀리버리,1,0,0.05
1155,상상인증권,1,0,0.13
1156,핌스,1,0,0.12
1157,삼표시멘트,1,0,0.03
1158,압타바이오,1,0,0.05
1159,우성,1,0,0.16
1160,윌비스,1,0,0.23
1161,비아이매트릭스,1,0,0.15
1162,쎄트렉아이,1,0,0.03
1163,비상교육,1,0,0.13
1164,문배철강,1,0,0.14
1165,동방아그로,1,0,0.1
1166,동남합성,1,0,0.07
1167,LX하우시스우,1,0,0.41
1168,흥국에프엔비,1,0,0.1
1169,파두,1,0,0.01
1170,영화금속,1,0,0.17
1171,KC그린홀딩스,1,0,0.1
1172,위지윅스튜디오,1,0,0.01
1173,와이투솔루션,1,0,0.07
1174,모두투어리츠,1,0,0.08
1175,진양화학,1,0,0.15
,조흥,1,0,0.07
,제일연마,1,0,0.08
,갤럭시아에스엠,1,0,0.1
,유엔젤,1,0,0.15
,이지스레지던스리츠,1,0,0.06
,사조오양,1,0,0.08
,조광페인트,1,0,0.08
,고려산업,1,0,0.08
,방림,1,0,0.07
,성안,1,0,0.06
,인터지스,1,0,0.08
,에넥스,1,0,0.17
,호전실업,1,0,0.07
,신송홀딩스,1,0,0.08
,남성,1,0,0.07
,대림B&Co,1,0,0.09
,코스텍시스,1,0,0.07
,금비,1,0,0.08
,코미팜,1,0,0.02
,국동,1,0,0.11
,화인베스틸,1,0,0.15
,티에이치엔,1,0,0.09
,웰바이오텍,1,0,0.05
,티웨이홀딩스,1,0,0.1
,플레이그램,1,0,0.07
,마니커,0,0,0.07
,대호에이엘,0,0,0.06
,아센디오,0,0,0.05
,케이비아이동국실업,0,0,0.07
,핸즈코퍼레이션,0,0,0.07
,주연테크,0,0,0.12
,대원화성,0,0,0.05
,에쓰씨엔지니어링,0,0,0.07
,미래산업,0,0,0.05
,오리엔트바이오,0,0,0.05
,서울식품,0,0,0.05
,까뮤이앤씨,0,0,0.05
,이오플로우,0,0,0.03
,평화산업,0,0,0.05
,NH프라임리츠,0,0,0.05
,케이탑리츠,0,0,0.07
,하이스틸,0,0,0.05
,성보화학,0,0,0.06
,MH에탄올,0,0,0.06
,일진디스플,0,0,0.05
,영흥,0,0,0.05
,시디즈,0,0,0.05
,서원,0,0,0.05
,쌍방울,0,0,0.04
,세원이앤씨,0,0,0.05
,진양폴리,0,0,0.04
,한일철강,0,0,0.04
,한세엠케이,0,0,0.04
,신세계건설,0,0,0.06
,국일제지,0,0,0.03
,레드캡투어,0,0,0.02
,천일고속,0,0,0.04
,다이나믹디자인,0,0,0.03
,대한방직,0,0,0.06
,에이엔피,0,0,0.04
,태영건설,0,0,0.03
,범양건영,0,0,0.04
,인바이오젠,0,0,0.02
,KH 필룩스,0,0,0.02
,인디에프,0,0,0.04
,대교우B,0,0,0.07
,한국종합기술,0,0,0.03
,GS우,0,0,0.03
,우진플라임,0,0,0.03
,모나미,0,0,0.03
,진도,0,0,0.07
,SJM,0,0,0.03
,SJM홀딩스,0,0,0.03
,전방,0,0,0.04
,현대에이치티,0,0,0.03
,평화홀딩스,0,0,0.03
,대양금속,0,0,0.03
,원림,0,0,0.03
,한국전자홀딩스,0,0,0.03
,세우글로벌,0,0,0.03
,한화갤러리아우,0,0,0.09
,영보화학,0,0,0.02
,비비안,0,0,0.03
,삼성물산우B,0,0,0.01
,미래에셋맵스리츠,0,0,0.02
,CS홀딩스,0,0,0.02
,마스턴프리미어리츠,0,0,0.01
,동원수산,0,0,0.03
,LX홀딩스1우,0,0,0.06
,에스메디,0,0,0.01
,한솔PNS,0,0,0.03
,삼화왕관,0,0,0.01
,티케이케미칼,0,0,0
,SHD,0,0,0.03
,휴마시스,0,0,0
,선도전기,0,0,0.01
,코오롱글로벌우,0,0,0.03
,비케이탑스,0,0,0.02
,가온그룹배당(보),0,0,0
,국보,0,0,0.01
,페이퍼코리아,0,0,0
,신풍,0,0,0
,IHQ,0,0,0.02
,MTRON,0,0,0
,셀트리온헬스케어,0,0,1.11
,제이더블유홀딩스무상(보),0,0,0
